Title,Company,Location,Salary,Kelayakan
HEAD WORKSHOP INTERIOR FURNITURE,PT Danpac Pharma,Surabaya,Rp 3.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,EF English First Swara Group,Jakarta Raya,Rp 4.500.000,Tidak Layak
Maintenance Sales,PT ME TOO INTERNATIONAL,Surabaya,Rp 6.000.000,Layak
Purchasing Staff Restoran,PT Daikin Airconditioning Indonesia,Denpasar Utara,Rp 5.000.000,Tidak Layak
Content Creator (TikTok Specialist),PT ME TOO INTERNATIONAL,Jakarta Selatan,Rp 4.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Kideta Boga Multirasa,Jakarta Utara,Rp 9.000.000,Layak
Sales Associates,PT Surya Tanjung Jaya,Jakarta Utara,Rp 4.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT ME TOO INTERNATIONAL,Jakarta Barat,Rp 7.000.000,Layak
Finance & Accounting Manager,PT. JAYA BERSAMA SAPUTRA PERKASA,Surabaya,Rp 7.000.000,Layak
Web Developer,PT Indium Dinamika Solusindo,Denpasar Utara,Rp 2.500.000,Tidak Layak
Web Developer,PT. EMTRADE TEKNOLOGI FINANSIAL,Bandung,Rp 6.000.000,Layak
DIMSUM CHEF,PT Indium Dinamika Solusindo,Musi Banyuasin,Rp 3.500.000,Tidak Layak
Sales Associates,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Utara,Rp 6.000.000,Layak
HRGA Assistance/ Recruitment Assistance,PT Daikin Airconditioning Indonesia,Musi Banyuasin,Rp 3.500.000,Tidak Layak
DIMSUM CHEF,Tumbleryuk,Manado,"Rp 7,000,000",Layak
Growth Marketing Manager,PT. Pinago Utama Tbk,Batam,Rp 8.000.000,Layak
Sales Team,PT ME TOO INTERNATIONAL,Surabaya,Rp 3.000.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),PT Seacrest Real Estate,Semarang Tengah,"Rp 7,000,000",Tidak Layak
Manager Produksi,PT Rajawali Bumi Raya,Bali,Rp 4.500.000,Layak
Purchasing Staff Restoran,PT ME TOO INTERNATIONAL,Jakarta Raya,Rp 8.000.000,Layak
Maintenance Sales,PT Danpac Pharma,Denpasar Utara,Rp 6.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Dufrindo Internasional,Jakarta Utara,Rp 3.000.000,Layak
Staff Telecollection Recovery,PT Kideta Boga Multirasa,Jakarta Barat,Rp 6.000.000,Layak
Finance & Accounting Manager,PT Indium Dinamika Solusindo,Jakarta Utara,Rp 3.500.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT Daikin Airconditioning Indonesia,Bali,Rp 8.000.000,Layak
Sales Team,PT Danpac Pharma,Musi Banyuasin,"Rp 5,000,000",Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,EF English First Swara Group,Jakarta Selatan,Rp 3.000.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT. Pinago Utama Tbk,Jakarta Raya,Rp 2.500.000,Tidak Layak
Staff Telecollection Recovery,PT Grune Teknologi Indonesia,Tangerang,Rp 8.000.000,Layak
Content Creator (TikTok Specialist),PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Barat,Rp 8.000.000,Layak
Sales Team,PT Kideta Boga Multirasa,Batam,Rp 5.000.000,Layak
Growth Marketing Manager,PT. EMTRADE TEKNOLOGI FINANSIAL,Surakarta,Rp 4.500.000,Layak
Growth Marketing Manager,PT Seacrest Real Estate,Badung,Rp 5.000.000,Layak
Real Estate Admin - Back Office,PT Seacrest Real Estate,Jakarta Barat,Rp 5.000.000,Layak
Growth Marketing Manager,PT Seacrest Real Estate,Denpasar Utara,Rp 5.000.000,Layak
Customer Relation Officer Jakarta,PT ME TOO INTERNATIONAL,Bali,Rp 4.500.000,Layak
Manager Produksi,PT. Pinago Utama Tbk,Surakarta,Rp 4.500.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT. EMTRADE TEKNOLOGI FINANSIAL,Bandung,Rp 5.000.000,Layak
Sales Team,PT Daikin Airconditioning Indonesia,Jakarta Barat,"Rp 5,000,000",Layak
Telesales/Telemarketing (Cabang Manado),EF English First Swara Group,Jakarta Utara,Rp 4.500.000,Layak
Customer Relation Officer Jakarta,PT Cisangkan,Jakarta Barat,Rp 8.000.000,Layak
Telesales/Telemarketing (Cabang Manado),PT Kideta Boga Multirasa,Bandung,Rp 3.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Seacrest Real Estate,Bandung,Rp 8.000.000,Layak
Customer Relation Officer Jakarta,PT Kideta Boga Multirasa,Jakarta Utara,Rp 9.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Grune Teknologi Indonesia,Jakarta Barat,Rp 5.000.000,Layak
Real Estate Admin - Back Office,EF English First Swara Group,Surabaya,"Rp 7,000,000",Layak
Sales Team,PT Seacrest Real Estate,Jakarta Utara,"Rp 5,000,000",Layak
Staff Telecollection Recovery,PT Indium Dinamika Solusindo,Bandung,Rp 2.500.000,Layak
Sales Associates,Tumbleryuk,Tangerang,Rp 6.000.000,Layak
DIMSUM CHEF,PT Rajawali Bumi Raya,Jakarta Barat,"Rp 7,000,000",Tidak Layak
Maintenance Sales,Palais Construction,Jakarta Barat,Rp 3.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Kideta Boga Multirasa,Tangerang,Rp 4.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),Palais Construction,Badung,Rp 5.000.000,Tidak Layak
Content Creator (TikTok Specialist),PT Surya Tanjung Jaya,Musi Banyuasin,Rp 4.000.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),PT. Pinago Utama Tbk,Jakarta Barat,Rp 3.000.000,Layak
Finance & Accounting Manager,PT Kalibesar Raya Utama,Jakarta Selatan,Rp 5.000.000,Tidak Layak
Real Estate Admin - Back Office,PT Dufrindo Internasional,Surakarta,Rp 2.500.000,Layak
Operator Produksi ( Percetakan ),PT Daikin Airconditioning Indonesia,Surabaya,"Rp 5,000,000",Layak
Kepala Administrasi (Kasie) Kebun,PT Daikin Airconditioning Indonesia,Badung,Rp 11.000.000,Tidak Layak
Growth Marketing Manager,PT. EMTRADE TEKNOLOGI FINANSIAL,Batam,Rp 3.500.000,Tidak Layak
Finance & Accounting Manager,PT. Pinago Utama Tbk,Jakarta Barat,Rp 9.000.000,Layak
Sales Associates,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 2.500.000,Tidak Layak
Customer Relation Officer Jakarta,Palais Construction,Jakarta Barat,Rp 3.500.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT. JAYA BERSAMA SAPUTRA PERKASA,Bandung,"Rp 7,000,000",Layak
HRGA Assistance/ Recruitment Assistance,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 4.500.000,Layak
Web Developer,PT Surya Tanjung Jaya,Bandung,"Rp 7,000,000",Layak
Sales Alkes / Farmasi (Area Surabaya),PT Indium Dinamika Solusindo,Jakarta Utara,Rp 6.000.000,Layak
Real Estate Admin - Back Office,PT Rajawali Bumi Raya,Surabaya,Rp 3.000.000,Tidak Layak
Staff Telecollection Recovery,PT Grune Teknologi Indonesia,Jakarta Utara,Rp 5.000.000,Layak
Web Developer,PT ME TOO INTERNATIONAL,Jakarta Barat,Rp 9.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),PT ME TOO INTERNATIONAL,Jakarta Barat,Rp 3.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Kideta Boga Multirasa,Jakarta Barat,Rp 4.500.000,Layak
Purchasing Staff Restoran,PT Danpac Pharma,Musi Banyuasin,Rp 12.000.000,Layak
Staff Telecollection Recovery,EF English First Swara Group,Bali,Rp 8.000.000,Layak
Operator Produksi ( Percetakan ),PT Indium Dinamika Solusindo,Manado,Rp 4.000.000,Tidak Layak
Finance & Accounting Manager,PT Danpac Pharma,Surakarta,Rp 5.000.000,Layak
Growth Marketing Manager,PT Indium Dinamika Solusindo,Surakarta,Rp 3.000.000,Tidak Layak
Sales Team,PT Seacrest Real Estate,Jakarta Selatan,"Rp 5,000,000",Tidak Layak
Content Creator (TikTok Specialist),PT Seacrest Real Estate,Semarang Tengah,Rp 9.000.000,Layak
Real Estate Admin - Back Office,PT Dufrindo Internasional,Surabaya,Rp 9.000.000,Layak
Web Developer,Growtopia,Jakarta Utara,Rp 8.000.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Cisangkan,Batam,"Rp 7,000,000",Layak
DIMSUM CHEF,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Selatan,Rp 6.000.000,Tidak Layak
Web Developer,Palais Construction,Denpasar Utara,Rp 3.500.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Barat,Rp 6.000.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Daikin Airconditioning Indonesia,Jakarta Barat,Rp 4.000.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),PT Indium Dinamika Solusindo,Jakarta Utara,Rp 8.000.000,Layak
Manager Produksi,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 4.500.000,Tidak Layak
Manager Produksi,PT Grune Teknologi Indonesia,Manado,Rp 6.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Dufrindo Internasional,Tangerang,"Rp 7,000,000",Layak
Finance & Accounting Manager,Tumbleryuk,Jakarta Selatan,Rp 6.000.000,Layak
Sales Team,Tumbleryuk,Jakarta Utara,Rp 5.000.000,Tidak Layak
DIMSUM CHEF,Palais Construction,Jakarta Raya,Rp 12.000.000,Layak
Customer Relation Officer Jakarta,PT Danpac Pharma,Bali,Rp 4.500.000,Tidak Layak
DIMSUM CHEF,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Barat,Rp 3.500.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),Growtopia,Jakarta Selatan,Rp 5.000.000,Tidak Layak
Staff Telecollection Recovery,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Selatan,Rp 4.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 11.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT ME TOO INTERNATIONAL,Bandung,Rp 5.000.000,Tidak Layak
Manager Produksi,PT ME TOO INTERNATIONAL,Surabaya,Rp 4.000.000,Tidak Layak
Operator Produksi ( Percetakan ),EF English First Swara Group,Batam,"Rp 5,000,000",Layak
Finance & Accounting Manager,PT. Pinago Utama Tbk,Surakarta,Rp 4.000.000,Tidak Layak
Web Developer,PT Danpac Pharma,Jakarta Utara,"Rp 7,000,000",Layak
Sales Associates,PT Dufrindo Internasional,Jakarta Barat,Rp 5.000.000,Tidak Layak
Finance & Accounting Manager,Tumbleryuk,Jakarta Barat,Rp 6.000.000,Layak
Customer Relation Officer Jakarta,PT Cisangkan,Jakarta Utara,Rp 9.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Cisangkan,Badung,Rp 2.500.000,Tidak Layak
Purchasing Staff Restoran,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 5.000.000,Tidak Layak
Web Developer,EF English First Swara Group,Denpasar Utara,"Rp 7,000,000",Layak
Telesales/Telemarketing (Cabang Manado),PT Kalibesar Raya Utama,Batam,Rp 8.000.000,Layak
Sales Associates,PT Daikin Airconditioning Indonesia,Semarang Tengah,"Rp 5,000,000",Tidak Layak
Staff Telecollection Recovery,PT Daikin Airconditioning Indonesia,Surabaya,Rp 9.000.000,Layak
Staff Telecollection Recovery,PT. EMTRADE TEKNOLOGI FINANSIAL,Batam,Rp 5.000.000,Layak
Manager Produksi,Palais Construction,Surabaya,Rp 3.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Daikin Airconditioning Indonesia,Tangerang,Rp 3.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,Palais Construction,Bali,Rp 6.000.000,Layak
Maintenance Sales,PT. Pinago Utama Tbk,Bali,Rp 3.500.000,Tidak Layak
Staff Telecollection Recovery,PT Rajawali Bumi Raya,Tangerang,Rp 5.000.000,Tidak Layak
Staff Telecollection Recovery,PT Rajawali Bumi Raya,Jakarta Barat,"Rp 5,000,000",Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),PT Seacrest Real Estate,Semarang Tengah,Rp 3.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Rajawali Bumi Raya,Bandung,Rp 3.500.000,Tidak Layak
Sales Associates,PT Kalibesar Raya Utama,Jakarta Barat,"Rp 7,000,000",Layak
DIMSUM CHEF,PT Rajawali Bumi Raya,Manado,Rp 4.500.000,Tidak Layak
Staff Telecollection Recovery,Growtopia,Jakarta Utara,Rp 4.500.000,Layak
Coal Buyer Seller Specialist (Trader Coal),Palais Construction,Jakarta Utara,Rp 8.000.000,Layak
Maintenance Sales,PT Cisangkan,Musi Banyuasin,Rp 4.000.000,Tidak Layak
Maintenance Sales,PT Rajawali Bumi Raya,Bali,Rp 7.000.000,Layak
Sales Associates,PT. Pinago Utama Tbk,Surakarta,Rp 12.000.000,Layak
Content Creator (TikTok Specialist),EF English First Swara Group,Jakarta Utara,Rp 3.500.000,Tidak Layak
DIMSUM CHEF,PT Indium Dinamika Solusindo,Denpasar Utara,Rp 8.000.000,Layak
Web Developer,PT Cisangkan,Denpasar Utara,Rp 7.000.000,Layak
Finance & Accounting Manager,Growtopia,Batam,Rp 4.000.000,Tidak Layak
Sales Associates,EF English First Swara Group,Jakarta Barat,Rp 4.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,EF English First Swara Group,Jakarta Raya,Rp 11.000.000,Layak
Sales Team,PT Rajawali Bumi Raya,Surakarta,Rp 8.000.000,Layak
Finance & Accounting Manager,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 3.500.000,Tidak Layak
Growth Marketing Manager,PT Danpac Pharma,Jakarta Barat,Rp 4.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Seacrest Real Estate,Surakarta,Rp 5.000.000,Layak
Content Creator (TikTok Specialist),PT Kideta Boga Multirasa,Jakarta Raya,Rp 5.000.000,Layak
Sales Team,PT Surya Tanjung Jaya,Manado,Rp 2.500.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),Tumbleryuk,Bandung,Rp 5.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Dufrindo Internasional,Musi Banyuasin,Rp 8.000.000,Layak
Sales Team,PT Cisangkan,Jakarta Barat,"Rp 5,000,000",Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Rajawali Bumi Raya,Musi Banyuasin,Rp 8.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Cisangkan,Badung,Rp 12.000.000,Layak
Kepala Administrasi (Kasie) Kebun,Palais Construction,Tangerang,Rp 4.500.000,Tidak Layak
DIMSUM CHEF,PT. Pinago Utama Tbk,Denpasar Utara,Rp 2.500.000,Tidak Layak
Manager Produksi,PT ME TOO INTERNATIONAL,Denpasar Utara,"Rp 5,000,000",Layak
HRGA Assistance/ Recruitment Assistance,PT Seacrest Real Estate,Surakarta,Rp 8.000.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Kalibesar Raya Utama,Jakarta Utara,Rp 9.000.000,Layak
Manager Produksi,EF English First Swara Group,Jakarta Utara,Rp 3.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,EF English First Swara Group,Batam,Rp 9.000.000,Layak
Finance & Accounting Manager,PT Rajawali Bumi Raya,Jakarta Selatan,Rp 7.000.000,Layak
Staff Telecollection Recovery,PT Kalibesar Raya Utama,Manado,Rp 6.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Cisangkan,Bali,Rp 4.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT ME TOO INTERNATIONAL,Jakarta Utara,"Rp 7,000,000",Layak
DIMSUM CHEF,PT Grune Teknologi Indonesia,Denpasar Utara,Rp 4.000.000,Tidak Layak
HRGA Assistance/ Recruitment Assistance,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 6.000.000,Layak
Growth Marketing Manager,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 11.000.000,Layak
Sales Team,EF English First Swara Group,Batam,Rp 5.000.000,Layak
Sales Associates,PT. JAYA BERSAMA SAPUTRA PERKASA,Bali,Rp 5.000.000,Layak
Real Estate Admin - Back Office,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 8.000.000,Layak
Real Estate Admin - Back Office,PT Grune Teknologi Indonesia,Manado,Rp 9.000.000,Layak
DIMSUM CHEF,PT Dufrindo Internasional,Manado,"Rp 7,000,000",Layak
Content Creator (TikTok Specialist),PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 3.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Cisangkan,Semarang Tengah,Rp 6.000.000,Layak
Staff Telecollection Recovery,PT Seacrest Real Estate,Denpasar Utara,Rp 12.000.000,Layak
Telesales/Telemarketing (Cabang Manado),PT Rajawali Bumi Raya,Surabaya,Rp 4.500.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),PT Grune Teknologi Indonesia,Bali,Rp 6.000.000,Layak
Staff Telecollection Recovery,PT. EMTRADE TEKNOLOGI FINANSIAL,Bali,Rp 5.000.000,Layak
Kepala Administrasi (Kasie) Kebun,Palais Construction,Surakarta,Rp 4.500.000,Tidak Layak
Web Developer,Tumbleryuk,Jakarta Barat,Rp 4.500.000,Tidak Layak
Operator Produksi ( Percetakan ),Tumbleryuk,Jakarta Utara,"Rp 7,000,000",Layak
DIMSUM CHEF,PT Indium Dinamika Solusindo,Musi Banyuasin,Rp 7.000.000,Layak
Staff Telecollection Recovery,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 8.000.000,Layak
HRGA Assistance/ Recruitment Assistance,PT Grune Teknologi Indonesia,Bandung,Rp 8.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),PT Grune Teknologi Indonesia,Denpasar Utara,Rp 4.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT Rajawali Bumi Raya,Jakarta Barat,Rp 7.000.000,Tidak Kelayakan
Content Creator (TikTok Specialist),PT Rajawali Bumi Raya,Jakarta Utara,Rp 8.000.000,Kelayakan
Growth Marketing Manager,Growtopia,Jakarta Barat,Rp 8.000.000,Kelayakan
Manager Produksi,Tumbleryuk,Musi Banyuasin,Rp 5.000.000,Tidak Kelayakan
DIMSUM CHEF,PT Cisangkan,Jakarta Utara,Rp 8.000.000,Kelayakan
Purchasing Staff Restoran,PT Indium Dinamika Solusindo,Jakarta Utara,Rp 8.000.000,Kelayakan
HEAD WORKSHOP INTERIOR FURNITURE,PT ME TOO INTERNATIONAL,Badung,Rp 11.000.000,Kelayakan
Sales Team,EF English First Swara Group,Jakarta Barat,Rp 6.000.000,Tidak Kelayakan
Coal Buyer Seller Specialist (Trader Coal),PT Indium Dinamika Solusindo,Semarang Tengah,Rp 12.000.000,Kelayakan
Coal Buyer Seller Specialist (Trader Coal),PT Surya Tanjung Jaya,Surabaya,Rp 3.500.000,Tidak Kelayakan
Sales Team,Tumbleryuk,Batam,Rp 6.000.000,Tidak Kelayakan
HRGA Assistance/ Recruitment Assistance,PT Seacrest Real Estate,Semarang Tengah,Rp 6.000.000,Tidak Kelayakan
Content Creator (TikTok Specialist),PT Indium Dinamika Solusindo,Surakarta,Rp 3.500.000,Tidak Kelayakan
Telesales/Telemarketing (Cabang Manado),PT ME TOO INTERNATIONAL,Tangerang,Rp 4.500.000,Tidak Kelayakan
Web Developer,Palais Construction,Batam,Rp 4.500.000,Tidak Kelayakan
Customer Relation Officer Jakarta,PT Danpac Pharma,Jakarta Barat,Rp 3.000.000,Tidak Kelayakan
Sales Alkes / Farmasi (Area Surabaya),PT ME TOO INTERNATIONAL,Tangerang,Rp 9.000.000,Kelayakan
Maintenance Sales,PT Kalibesar Raya Utama,Surakarta,Rp 6.000.000,Tidak Kelayakan
Sales Associates,PT Dufrindo Internasional,Jakarta Selatan,Rp 7.000.000,Tidak Kelayakan
Manager Produksi,PT Daikin Airconditioning Indonesia,Batam,"Rp 5,000,000",Tidak Kelayakan
Maintenance Sales,PT ME TOO INTERNATIONAL,Bali,Rp 5.000.000,Tidak Kelayakan
Finance & Accounting Manager,Tumbleryuk,Jakarta Utara,Rp 8.000.000,Kelayakan
Content Creator (TikTok Specialist),PT. JAYA BERSAMA SAPUTRA PERKASA,Semarang Tengah,Rp 5.000.000,Tidak Kelayakan
Content Creator (TikTok Specialist),PT. Pinago Utama Tbk,Jakarta Barat,Rp 5.000.000,Tidak Kelayakan
Web Developer,PT. Pinago Utama Tbk,Tangerang,Rp 8.000.000,Kelayakan
Purchasing Staff Restoran,PT Dufrindo Internasional,Bandung,Rp 5.000.000,Tidak Kelayakan
Purchasing Staff Restoran,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 2.500.000,Tidak Kelayakan
Kepala Administrasi (Kasie) Kebun,PT Indium Dinamika Solusindo,Batam,Rp 5.000.000,Tidak Kelayakan
Operator Produksi ( Percetakan ),PT Daikin Airconditioning Indonesia,Jakarta Barat,Rp 4.500.000,Tidak Kelayakan
DIMSUM CHEF,PT Grune Teknologi Indonesia,Jakarta Selatan,Rp 3.000.000,Tidak Kelayakan
Finance & Accounting Manager,PT Seacrest Real Estate,Surabaya,Rp 6.000.000,Tidak Kelayakan
DIMSUM CHEF,EF English First Swara Group,Surakarta,Rp 4.000.000,Tidak Kelayakan
Coal Buyer Seller Specialist (Trader Coal),PT Surya Tanjung Jaya,Badung,Rp 4.000.000,Tidak Kelayakan
Sales Alkes / Farmasi (Area Surabaya),Tumbleryuk,Tangerang,Rp 7.000.000,Tidak Kelayakan
Real Estate Admin - Back Office,PT Kideta Boga Multirasa,Jakarta Raya,Rp 5.000.000,Tidak Kelayakan
Maintenance Sales,PT. JAYA BERSAMA SAPUTRA PERKASA,Bandung,Rp 4.500.000,Tidak Kelayakan
Finance & Accounting Manager,PT. EMTRADE TEKNOLOGI FINANSIAL,Denpasar Utara,Rp 12.000.000,Kelayakan
Staff Telecollection Recovery,PT Dufrindo Internasional,Jakarta Barat,Rp 11.000.000,Kelayakan
Kepala Administrasi (Kasie) Kebun,PT Cisangkan,Batam,Rp 3.500.000,Tidak Kelayakan
HRGA Assistance/ Recruitment Assistance,PT Grune Teknologi Indonesia,Semarang Tengah,"Rp 5,000,000",Tidak Kelayakan
Finance & Accounting Manager,PT Rajawali Bumi Raya,Musi Banyuasin,"Rp 7,000,000",Tidak Kelayakan
Telesales/Telemarketing (Cabang Manado),PT Cisangkan,Tangerang,Rp 5.000.000,Tidak Kelayakan
HRGA Assistance/ Recruitment Assistance,PT Seacrest Real Estate,Jakarta Barat,Rp 11.000.000,Kelayakan
Operator Produksi ( Percetakan ),Growtopia,Badung,Rp 8.000.000,Kelayakan
HEAD WORKSHOP INTERIOR FURNITURE,PT. Pinago Utama Tbk,Batam,"Rp 7,000,000",Kelayakan
Content Creator (TikTok Specialist),Palais Construction,Musi Banyuasin,Rp 8.000.000,Kelayakan
Maintenance Sales,EF English First Swara Group,Surabaya,Rp 12.000.000,Kelayakan
Content Creator (TikTok Specialist),PT Rajawali Bumi Raya,Jakarta Utara,Rp 4.500.000,Tidak Kelayakan
Real Estate Admin - Back Office,PT Dufrindo Internasional,Jakarta Utara,Rp 3.000.000,Tidak Kelayakan
Growth Marketing Manager,PT Seacrest Real Estate,Jakarta Barat,Rp 3.000.000,Tidak Layak
Content Creator (TikTok Specialist),PT Seacrest Real Estate,Jakarta Barat,Rp 3.500.000,Tidak Layak
Customer Relation Officer Jakarta,Tumbleryuk,Musi Banyuasin,Rp 8.000.000,Layak
Content Creator (TikTok Specialist),PT. Pinago Utama Tbk,Jakarta Utara,Rp 8.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Daikin Airconditioning Indonesia,Jakarta Barat,Rp 3.000.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),PT Seacrest Real Estate,Jakarta Utara,Rp 4.500.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),PT Rajawali Bumi Raya,Badung,Rp 8.000.000,Layak
Real Estate Admin - Back Office,PT Surya Tanjung Jaya,Musi Banyuasin,Rp 8.000.000,Layak
Finance & Accounting Manager,PT Danpac Pharma,Jakarta Utara,Rp 5.000.000,Tidak Layak
Finance & Accounting Manager,PT Kalibesar Raya Utama,Denpasar Utara,Rp 9.000.000,Layak
Customer Relation Officer Jakarta,PT Cisangkan,Manado,"Rp 7,000,000",Layak
DIMSUM CHEF,Palais Construction,Jakarta Barat,Rp 8.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),PT Kideta Boga Multirasa,Jakarta Utara,"Rp 7,000,000",Layak
